MMSI,Method,Sub1,Sub2,Sub3,Sub4,Sub5,Sub6,Sub7,Sub8,Sub9,Sub10,Sub11,Sub12,Sub13,Sub14,Sub15,Sub16,Sub17,Sub18,Sub19,Sub20
565494000.csv,Kalman,19.903475703661165,49.54027128695103,88.72550872262451,141.41012019107848,182.73036784851504,197.10987669733416,199.18403291297543,270.1957622480079,248.34766950202797,343.3809557517409,264.86809925090296,368.22699207001654,406.42632507116303,466.05694206377296,725.1499255482591,933.815194120567,963.6854235845132,1023.9851664512026,1872.7643555794025,1760.8800179505065
565494000.csv,Linear,50.035409299417864,74.35040693984,97.68962696526873,122.19843307092661,144.7199285952187,169.65513485463865,190.79550963492494,216.71853671551273,228.07096229875697,250.43824186946924,279.37939506321004,305.3732428347463,317.2868582145702,335.1483953596529,462.4275488140279,489.13266773561054,504.87710541547676,526.753880786007,1012.4363048207338,1050.0338414170926
244740921.csv,Kalman,14.225073341962137,38.544824034037596,71.57520109613868,99.01709014464377,125.89728134115173,122.48996290656079,145.4103022180965,212.66909372569103,202.01765555901383,208.25259753260468,231.6677266276387,250.6250018346294,256.53057070901224,281.435060019496,303.24988908197264,286.8679995153991,321.6320672143114,308.7012417585992,521.0781551215644,717.6025857899834
244740921.csv,Linear,35.866993702474055,52.299299890761944,69.01848871105912,86.38203751745047,103.50569079885739,116.48161260465146,134.2663391682061,147.98528988170142,162.57174060968427,183.18686389360187,197.16572772390603,203.70014169678288,211.72330718664455,221.32804792593808,235.79610538779204,253.27473194140026,283.35761026501,300.15417342569015,419.4478285326322,452.5376540937148
227330000.csv,Kalman,13.86370583604018,30.424167995017708,92.65649622644803,194.83346985361416,301.22176840979535,441.5212263067597,477.2862175343374,666.1604272206816,585.3948434213238,480.8323248975214,425.45584651587177,568.4110202685562,603.901848384285,650.4745715489073,692.5420877228445,709.8226877915046,687.4665205483948,631.2800311450786,562.737853011189,714.9021089622257
227330000.csv,Linear,94.45420555778891,138.74089412646902,186.34215554939288,231.04314541825903,270.76323169480185,316.03720347391544,360.6766421536117,409.994423304649,435.1609920696912,475.52443405217855,533.8387844905815,579.1674724674841,592.5336741807525,613.3624616566765,641.5304001069524,677.1367614246209,720.0397930522053,772.267557905796,831.9923250098071,926.1242760426969
227372000.csv,Kalman,28.404119230253524,102.85410570215448,158.19541834557052,215.03842263451762,349.9457638048164,399.1855144370945,586.6371373588021,547.0040395101914,643.094481262205,1555.3846674499996,1383.0318311728327,2271.924298038298,2204.936440578495,1768.7562653393986,1684.013751320181,1143.3024422007088,4286.867055004117,4647.550582273953,15052.825187686489,10444.680986733394
227372000.csv,Linear,141.2008291272135,206.80614703280546,265.10471181163456,326.1202500229754,401.17720501315705,470.2451817329882,523.5251440908776,598.9344653354535,752.4644229405451,1148.1497266232122,1159.7860234587804,1296.6429515368204,1609.706073020095,1624.7115785109559,1641.2393410558702,1722.5356992958,3095.9326610806525,3552.88788283433,7688.177815857231,7801.3797830124795
228130000.csv,Kalman,13.082388070525353,15.744615567086859,41.01750225745306,61.37308999292365,116.53135027689684,184.54506037384797,138.2867261385165,248.47520078486713,352.17657041200863,341.9828550286854,226.6635204905224,455.09905809649575,332.37698913308003,348.162042553685,372.4307124062457,413.3924490410016,367.2908651961126,1275.9942597977565,1346.2097457019984,1488.136840855267
228130000.csv,Linear,116.49409332695076,167.40100566053704,224.30565865423904,268.9115563224808,322.121726982956,380.70197457446915,424.0849348122934,482.3643002356264,609.7267082263085,650.632596806225,693.2942156991032,1001.6380423019317,998.4215021908045,1008.1869939983707,1023.7907123155643,1052.2282565557389,1119.6038457380198,1163.1116902141137,1251.9940410934175,1756.2918962157592
228727000.csv,Kalman,18.97845895131252,71.12684986626691,153.9889097514737,255.76388902764066,343.3725658206274,410.4547453236566,396.2492510551761,442.8475995333323,401.69023131681024,336.90197149669063,296.4198045271829,340.9832465545252,350.2627865245715,446.1205017213935,526.6392102953628,613.1891184337204,678.165115637229,739.3340841780539,1169.1726546822913,1415.3964189497426
228727000.csv,Linear,48.081901213760645,68.30393542960832,92.42197601660412,112.76859164272945,136.2923248541689,155.87217479188342,178.13653672431556,196.88465277470937,218.04931143366946,242.55575347518158,267.889791492193,280.1162119889165,290.34561192357233,301.2172886009307,318.45884865692847,338.9895511714923,371.7719206905474,397.3486606965808,477.3608670381251,512.8381242878792
227988000.csv,Kalman,9.11426707684781,54.666400873432266,127.41673401300167,219.87647154986476,303.38691061445127,375.06216740466215,353.8178761540298,388.1946887508492,358.15036600812954,271.2751445608413,168.94315006322827,163.03426570504593,233.6463774455816,326.26783066492055,419.14366264205097,491.5463784823556,560.6414683500433,663.4582030454744,694.9641652581402,780.4550774200172
227988000.csv,Linear,46.82783879889931,70.18644941918198,92.66487711858314,116.3040388540165,137.3505177704849,162.71080145098477,177.5298037427736,209.03769124533386,219.2598109447676,240.6545251947826,269.57996662024544,305.9529544666816,311.61515594733845,318.89109030127906,332.20818696260847,347.8597651671102,367.96194972252067,391.9676847160527,418.98563770817685,468.8421071101254
